config_name,hpo_id,mean_force_rmse,std_force_rmse,num_rmse_samples,mean_katom_steps_per_s_log,mean_peak_gpu_memory_mib,mean_timesteps_per_s_log,std_katom_steps_per_s_log,std_peak_gpu_memory_mib,std_timesteps_per_s_log
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_107,0.17229209510332644,0.00584867136313662,9,24.114000000000004,11347.42857142857,72.34295238095238,11.47797892488046,5336.363561184982,56.92377883756154
hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_106,0.18239709264590206,0.005973135935875554,9,32.18928571428571,10912.285714285714,86.68995238095238,17.21797024664306,4860.178331531232,64.8930276974932
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_105,0.19069381996348997,0.0033519100008600118,9,36.782142857142865,10664.857142857143,94.539,21.233965680686484,4525.385732572576,67.21800374973955
hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_104,0.18398307605308697,0.0046417545347173786,9,30.739095238095242,10470.57142857143,83.09438095238094,16.07715330804792,4219.733647653944,61.56546505751109
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_103,0.1916931952407665,0.003770804890287452,9,41.45619047619048,10199.47619047619,104.60909523809522,24.14363279131591,3940.2094692928144,71.60471456748135
hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_102,0.1989055082850888,0.0030634672169123777,9,48.308142857142855,9986.57142857143,112.8994761904762,31.01952826250863,3670.226308709431,71.7798712973345
hpo_101_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_101,0.19136897560294813,0.006068513079794013,9,32.925285714285714,10168.857142857143,87.52352380952381,18.12697422115135,3975.5031667163125,64.0752974566791
hpo_100_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_100,0.19884219497677205,0.005820220069954927,9,47.642809523809525,9766.761904761905,111.5367142857143,30.420190482012185,3448.1189785847287,71.40363974836498
hpo_099_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_099,0.20597387034613557,0.004444291999900916,9,57.64094736842106,12476.380952380952,101.42089473684209,45.512373031314475,7254.4875937325205,71.72065358032025
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_098,0.1776244577622469,0.00443231141349088,9,27.1113,10927.714285714286,82.98269999999998,13.168387788863704,5123.732781311464,60.14200299913006
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_097,0.18491538321505765,0.005387357842691856,9,33.983380952380955,10505.47619047619,91.36547619047617,18.647929047152097,4557.4033135004365,68.04814126676719
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_096,0.19523981751201225,0.0035675348994297354,9,39.949714285714286,10235.666666666666,103.62704761904763,22.322151917193956,4191.650096720065,73.41403197037756
hpo_095_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_095,0.1856266826254867,0.005399023327205659,9,32.57480952380952,10073.904761904761,88.06838095238096,17.804186677911034,3990.7625199297677,67.55657003761824
hpo_094_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_094,0.19522161013764197,0.004682241731088477,9,43.98314285714286,9719.095238095239,107.62933333333334,27.65396051614617,3563.010733982735,73.7083622198549
hpo_093_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_093,0.20355819549435789,0.0036278357557599237,9,54.88090476190477,9471.047619047618,122.56647619047622,36.61939988845361,3263.069681698362,74.28805228071272
hpo_092_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_092,0.1954854701970169,0.0052114637995057285,9,37.660047619047624,9668.333333333334,97.7282380952381,21.335927667847468,3557.263138050562,69.78964518172074
hpo_091_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_091,0.20381394302312106,0.004491353733763757,9,55.999619047619035,9241.42857142857,124.7159047619048,38.0133206435273,3058.4508917330772,76.8744993674136
hpo_090_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-128,hpo_090,0.2087962573933893,0.003630641663616249,9,66.56647619047618,9052.904761904761,139.13766666666663,48.68169109287294,2870.891967747339,79.43572975137405
hpo_089_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_089,0.18065494603751395,0.0069536318999889775,9,29.208619047619045,10586.904761904761,81.23052380952379,14.403122638775908,5029.766345515087,61.24040594135463
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_088,0.19329931311272316,0.004885888503077901,9,35.9954761904762,10140.666666666666,95.55880952380951,19.809790323521973,4397.445625966663,70.47970881155729
hpo_087_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_087,0.19985677398160243,0.00521150122093544,9,40.851238095238095,9860.857142857143,105.11066666666667,23.537784950807843,4026.279328185195,74.94055507622915
hpo_086_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_086,0.19015165467524323,0.0076326924553058615,9,32.579190476190476,9602.190476190477,87.56328571428571,17.88176835108611,3678.1332849564824,66.28840220743207
hpo_085_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_085,0.19906879673368638,0.004782099440612603,9,32.892,6217.761904761905,222.23363636363638,18.41109892972171,3981.065961583178,147.61485700177522
hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_084,0.2075035499652737,0.003391859137774939,9,18.277,5531.809523809524,338.4626666666666,7.525027109585718,3458.4520759878637,139.35422388407653
hpo_083_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_083,0.20006987689635217,0.005062832148332221,9,49.44085714285715,5552.857142857143,143.6672857142857,23.639243338748628,3419.790436352998,121.41759971155041
hpo_082_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-256,hpo_082,0.2076379784112101,0.0036319982304843642,9,73.54104761904762,5147.333333333333,185.9917142857143,42.81301280040472,2972.032963029403,143.6363915740516
hpo_081_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-128,hpo_081,0.21401593214847872,0.004141210681548604,9,91.76447619047617,4983.0952380952385,209.1441428571429,59.95557634333861,2827.732871131251,142.12832202917394
hpo_080_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_080,0.186418048807259,0.0063856400700684065,9,33.09238095238096,6065.666666666667,108.52733333333333,12.830882715059749,4129.999592413216,102.0662757208929
hpo_079_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_079,0.19423690680301775,0.004436286608539018,9,42.71814285714285,5633.476190476191,130.74980952380952,19.562379638698648,3551.1866976976535,117.64552934328574
hpo_078_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_078,0.20345481535820664,0.0030928725591807633,9,49.83152380952381,5409.0952380952385,146.4557142857143,23.746020545807347,3273.752447952684,126.38133555717113
hpo_077_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_077,0.1939754771374668,0.00474953768408888,9,10.402,5831.9047619047615,192.637,0.0,3865.2459935269567,0.0
hpo_076_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_076,0.20211698864080707,0.0034197206301654257,9,51.616619047619054,5434.761904761905,148.65828571428568,25.23739156584173,3329.0288509528104,125.33364732191545
hpo_075_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_075,0.21009357774932916,0.002922217875743715,9,56.21128571428571,5227.857142857143,149.6230476190476,31.064799508676792,3091.4119474071117,112.7465055438421
hpo_074_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_074,0.2058675542129834,0.005438386069392806,9,39.334,5611.666666666667,121.24709523809523,17.11659457368784,3485.807629995283,107.50138726123714
hpo_073_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_073,0.21111770542733665,0.004075117277449406,9,54.70019047619047,5197.190476190476,150.08223809523807,28.44360400620682,3006.2535757824494,114.99990287383062
hpo_072_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_072,0.2181351883247565,0.0033026860283041776,9,67.29433333333334,4974.666666666667,171.00285714285715,37.82533901941043,2824.879967951441,124.1200989104044
hpo_071_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_071,0.19145324520462953,0.005188298525412543,9,39.727714285714285,5921.523809523809,123.71423809523806,17.303384013373964,3940.3994546117738,113.56261286924705
hpo_070_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_070,0.19900704417673032,0.0046146784750000615,9,53.773380952380954,5369.523809523809,152.85971428571426,27.256202252838143,3272.7624511877975,128.6921506662869
hpo_069_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_069,0.20658843287803658,0.0027301235219419464,9,66.03380952380952,5222.666666666667,174.6775714285714,36.51383776134611,3130.527644556638,139.2991302465925
hpo_068_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_068,0.19733375791919525,0.0037507787681437432,9,40.192904761904764,5480.523809523809,124.09414285714286,17.70951973912551,3476.4523960360452,110.56184979019015
hpo_067_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_067,0.20550064258194467,0.0031706947388936025,9,54.25447619047619,5068.476190476191,153.80480952380952,27.705096633325514,2993.2929128143746,128.7717594182121
hpo_066_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_066,0.2127711368919078,0.003133830893513836,9,85.65957142857144,4879.0952380952385,204.05923809523813,54.58288607940352,2822.9672669863157,150.73723748825464
hpo_065_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_065,0.20981052433916958,0.0038744539821047403,9,43.05757142857143,5294.523809523809,132.6534761904762,19.530860591820908,3247.9541194272992,119.46441290929238
hpo_064_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_064,0.2157321339767457,0.002697184451738871,9,61.37799999999999,4889.761904761905,164.49871428571427,32.968422804253166,2818.5555681015394,126.70148061216288
hpo_063_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,hpo_063,0.22090698569348696,0.00275704643075373,9,75.078,4684.238095238095,181.9667619047619,45.226862336447795,2650.2138574983323,126.547834397869
hpo_062_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_062,0.19686216946464755,0.008363678903691524,9,34.01533333333333,5677.476190476191,109.36123809523808,13.793074763566437,3742.652263022142,102.81068058178818
hpo_061_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_061,0.20443356073298313,0.007215852743030275,9,41.96847368421053,6016.333333333333,138.51794736842103,20.184713028451398,4278.612430839388,109.10289294895168
hpo_060_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_060,0.21316567144526058,0.004328212644792544,9,54.54238095238096,5000.666666666667,155.4047619047619,27.52388495012321,2977.268518849674,129.28108480590063
hpo_059_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_059,0.20449679405253948,0.004523406373147026,9,36.86323529411764,6716.333333333333,154.38229411764704,16.77603468317756,5597.661487919159,114.36210291808028
hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_058,0.21193246203636995,0.0036701894288021196,9,73.23066666666666,4875.9047619047615,188.6117619047619,41.5512015281548,2854.0062351852334,146.65148903979966
hpo_057_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_057,0.2180243197739632,0.0031128870179095353,9,54.990875,4478.285714285715,393.3515,39.10751006223558,2682.9408704415596,122.13794768445811
hpo_056_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_056,0.2160824671959709,0.004378666010020257,9,51.90271428571428,4617.380952380952,165.93033333333338,20.817708555801374,3112.5338628871245,144.1993574376576
hpo_055_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,hpo_055,0.22034606773510226,0.00462962141623094,9,75.17528571428572,4244.428571428572,206.61,36.66216005385233,2689.1357267982694,150.77964497073202
hpo_054_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,hpo_054,0.2255335117714952,0.003364415885335416,9,89.93647619047617,4053.1428571428573,234.06152380952383,47.90614779923246,2549.081134168042,165.4735140312851
hpo_053_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_053,0.19841805111744593,0.007206790827368897,9,65.34652380952382,5202.333333333333,198.98076190476192,28.659142069536987,3833.899611796497,165.3906196714024
hpo_052_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_052,0.2011866667974268,0.0035989075431855154,9,85.208,4836.428571428572,234.47757142857145,42.015905100330755,3315.944670398295,174.3971848329472
hpo_051_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_051,0.20549200026337544,0.003425460300348686,9,95.32519047619047,4929.809523809524,248.9270476190476,51.01973262338704,3409.411204578404,176.71065123117967
hpo_050_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_050,0.2119710376980374,0.005515748032968855,9,75.79480952380952,4627.666666666667,217.25761904761904,35.404740611419605,3024.455427565983,170.41441474959683
hpo_049_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_049,0.2112028242895885,0.003788086186463689,9,103.04338095238096,4510.238095238095,264.72966666666673,56.079647736479394,2980.4302525769986,187.28092631320823
hpo_048_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_048,0.2147299181473747,0.0022301802485646025,9,114.96338095238094,4322.619047619048,274.41114285714286,69.13637657736786,2771.5427378301506,180.5167014467874
hpo_047_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_047,0.22121129119396504,0.0046004767173393095,9,83.23323809523811,4443.809523809524,229.6702857142857,40.805857993558675,2897.7211497838707,172.85730219523353
hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_046,0.2217209904693507,0.003391873940222868,9,118.50857142857144,4198.047619047619,287.3824285714286,69.72373078914482,2656.043062079199,192.74527287888836
hpo_045_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_045,0.22371646678553286,0.003718432297976623,9,135.70652380952382,4157.571428571428,315.8759999999999,84.25941991351415,2632.4341315867446,204.57072894576095
hpo_044_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_044,0.2007664883677925,0.006707670045304332,9,69.59623809523808,5023.809523809524,210.23661904761906,30.734498521864253,3612.176374695007,173.62534197849004
hpo_043_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_043,0.20499603756342646,0.0037828567330857044,9,90.46771428571428,4662.380952380952,247.00100000000003,45.57374041500529,3116.0807030016163,184.41017179076647
hpo_042_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_042,0.20921257603339308,0.002837541247523009,9,101.84085714285713,4590.190476190476,265.24547619047615,54.93131722732098,3019.0560216572267,189.729550749908
hpo_041_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_041,0.21122321017480009,0.006824483342665905,9,82.95552380952381,4497.952380952381,231.98261904761907,39.917832019811705,2907.579018293234,176.60805259287474
hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_040,0.21389983168008192,0.004646593249975495,9,113.34433333333332,4462.285714285715,281.4581428571429,64.26657591340411,2835.7678526786563,189.39428895093053
hpo_039_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_039,0.21722526443573878,0.003340849674937524,9,134.18161904761905,4225.666666666667,308.821,84.50296625354413,2641.738411223438,198.7533433726336
hpo_038_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_038,0.22431200489924383,0.004283156824383148,9,90.52395238095238,4380.523809523809,247.82599999999996,45.817916822435514,2788.496218735963,186.47573606638477
hpo_037_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_037,0.22593669983089595,0.0038677211306289397,9,129.59528571428572,4151.142857142857,303.7315238095239,78.82887035416837,2560.112991368043,193.04326004256637
hpo_036_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-128,hpo_036,0.22771658400894973,0.002585886313662771,9,156.71914285714286,4100.619047619048,340.88576190476186,104.26802832809574,2540.5271200321886,206.1124145217616
hpo_035_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_035,0.2028933115901496,0.007615290867408016,9,73.76280952380951,5000.9047619047615,214.81461904761903,33.60166518287308,3550.2844943012933,168.75433871532792
hpo_034_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_034,0.20635860196767342,0.005825139338832814,9,93.98714285714287,4619.9047619047615,250.37266666666667,48.946303622731016,3058.520752010061,181.59951790776688
hpo_033_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_033,0.21256117541904385,0.0046921926406025645,9,109.01490476190477,4533.619047619048,273.8238571428571,60.985841076355385,2967.1771008180567,189.86049800084422
hpo_032_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_032,0.21365747953798742,0.004264504843055174,9,83.60680952380953,4395.952380952381,234.58509523809522,40.40963411937683,2786.1876368290505,178.5031509155804
hpo_031_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_031,0.21693123556590063,0.003798642266894768,9,113.77023809523808,4355.476190476191,284.1209523809524,64.36078177889448,2713.845585493906,194.41209160658607
hpo_030_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_030,0.2206410453093527,0.003022660098118261,9,141.32471428571426,4117.333333333333,314.5331428571429,89.96564195132653,2550.6600583639784,190.65500165856804
hpo_029_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_029,0.22445514891323035,0.006325256446150054,9,96.37657142857142,4260.047619047619,251.54204761904762,51.598535684233745,2689.9122007268284,178.39068009273248
hpo_028_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-256,hpo_028,0.22835413373525482,0.004784357815701428,9,139.92795238095238,4043.0476190476193,318.2707619047619,87.17056678402187,2488.612333735218,198.81426555906515
hpo_027_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-128,hpo_027,0.2300456111825537,0.005071549200080486,9,172.22661904761904,4008.4285714285716,351.9132380952381,120.30662126976894,2498.2338475696897,198.66948311653323
hpo_026_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_026,0.2143780407764106,0.004685805665326472,9,72.58414285714285,4583.666666666667,213.0301904761905,32.77587936773888,2994.7778103447563,171.215036898229
hpo_025_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_025,0.21613449892506156,0.004577313323616273,9,97.62833333333332,4249.761904761905,259.76514285714285,50.68181162639446,2670.277942551335,187.39708757483018
hpo_024_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_024,0.22012373612428562,0.0027510273668476803,9,112.838,4273.619047619048,280.59590476190476,63.717274580760275,2666.068537682227,191.47107678182226
hpo_023_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_023,0.2221785236269712,0.0043811806544185,9,79.09452380952382,4445.9047619047615,228.03433333333336,36.58019973649549,2876.995236436131,179.16657169330813
hpo_022_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_022,0.22265846632763303,0.004085289364830054,9,111.82519047619049,4215.714285714285,277.21842857142855,63.31459617546261,2665.0854234500093,188.82815593352902
hpo_021_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_021,0.22610897950966688,0.002813910002397755,9,131.71666666666667,4091.904761904762,308.6500952380952,80.98278077612136,2545.841411100894,199.8772809885868
hpo_020_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_020,0.22861318916227344,0.004939660318930717,9,85.78576190476191,4397.333333333333,238.26438095238098,41.51002248361805,2776.4938381587185,178.34918110843014
hpo_019_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_019,0.23149322659486668,0.004058774006053371,9,124.10509523809523,4172.0,297.32528571428577,74.19932410602185,2556.694565254129,196.88623008939524
hpo_018_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_018,0.23362478201720607,0.0032652579204344332,9,152.0002857142857,4032.904761904762,334.62214285714293,99.26271734802692,2471.89989491407,205.34683280301297
hpo_017_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_017,0.21384537817809693,0.0075312158849155765,9,80.5807619047619,4456.619047619048,230.52890476190476,37.647732049759334,2836.6689527717267,179.93537769513387
hpo_016_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_016,0.21771347248542974,0.0032028748038945656,9,109.38195238095237,4220.238095238095,276.7194285714285,60.45410315807868,2590.439458948267,190.3587262519298
hpo_015_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_015,0.2223259825958347,0.0032457917488905846,9,125.62661904761907,4215.476190476191,304.124380952381,74.08816482845029,2591.1202137115833,202.51882367115311
hpo_014_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_014,0.22407521972069525,0.005398474951601893,9,88.82547619047618,4348.380952380952,240.79114285714292,44.93163370346002,2715.747677458097,176.6217616689081
hpo_013_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_013,0.22704349189621084,0.0032985919122133296,9,126.20438095238097,4149.952380952381,300.9012857142857,75.5732981915413,2493.415658814039,196.3369434098287
hpo_012_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_012,0.22908225317671338,0.002713048320099987,9,153.85719047619045,4030.0476190476193,340.39180952380946,99.34474635461054,2400.6034132315663,210.1833474156835
hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_011,0.23257999162634416,0.004164990229115318,9,95.71980952380952,4275.619047619048,253.2483333333333,50.34402717862273,2644.1030138062038,182.59458170803788
hpo_010_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_010,0.23439623684983457,0.0026527654314562423,9,142.18057142857145,4062.4285714285716,322.30023809523817,89.52583536084511,2444.6281020111946,200.6757663969182
hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,hpo_009,0.23657921443040428,0.002710156902146771,9,175.3454761904762,3902.5238095238096,362.7323333333333,121.71926965793831,2358.283965493715,206.59916082291653
hpo_008_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_008,0.22208317725325946,0.006357565161364717,9,83.89804761904763,4458.238095238095,230.9786190476191,40.578293120184576,2757.0816437813714,168.01999342949523
hpo_007_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_007,0.2238019050727941,0.004400987599029344,9,114.57604761904761,4287.666666666667,286.8671428571428,64.52489788637885,2408.869326745088,196.47715471608544
hpo_006_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_006,0.2271037374844281,0.004097876732519355,9,132.35714285714286,4273.857142857143,311.5954285714285,80.14431914383309,2555.907515652988,202.32523099123634
hpo_005_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_005,0.22947943044599484,0.005355447336278558,9,94.7397619047619,4315.285714285715,248.22319047619055,50.05419418880376,2677.244201466447,175.1070974913978
hpo_004_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_004,0.23084594630318855,0.005072222570628669,9,137.23014285714288,4059.9523809523807,321.4347142857142,83.31374891654183,2478.971227670674,204.8583594125812
hpo_003_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_003,0.23347816082526865,0.0036780130343311477,9,164.9700476190476,3965.8571428571427,344.36766666666665,111.35954241665875,2410.1428025267355,196.63648231275226
hpo_002_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_002,0.2355887365194291,0.005582217599219654,9,101.81542857142858,4267.333333333333,266.80347619047615,53.98906777910823,2619.8859389930194,191.2571652939097
hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,hpo_000,0.24057241547657343,0.003936969182024755,9,188.90276190476192,3884.0476190476193,376.42900000000003,136.12860491201133,2388.5257268070295,211.3101063581674
hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,hpo_001,0.2392002930275565,0.004084073067537546,9,152.3119047619048,4031.714285714286,339.07847619047624,98.02957138583479,2441.7233902073576,208.839525661839
